"pose_index","timestamp","yaw_deg","x","y","z","rx","ry","rz","data_file","info_file","log_folder"
"37","2025-08-14T00:59:49-05:00","11.0","0.002830090803314752","-0.4666894398832917","0.9799092319594793","-0.20016526440225466","-2.121660802426723","2.1167858533143353","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005921.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005921.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005921"
"38","2025-08-14T01:00:19-05:00","12.0","0.0027969848910764095","-0.46668257034466165","0.9799192036189007","-0.21795766370787562","-2.111950145348425","2.107260610453151","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005952.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005952.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005952"
"39","2025-08-14T01:00:50-05:00","13.0","0.0027736661992198916","-0.46666033594920875","0.9799207769580451","-0.23550744852047725","-2.1022106773410467","2.0976423410975356","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010022.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010022.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010022"
"40","2025-08-14T01:01:20-05:00","14.0","0.002754753338191633","-0.4666452779217183","0.9799328960319416","-0.25290671568098855","-2.0924403455188925","2.0879929875133723","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010052.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010052.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010052"
"41","2025-08-14T01:01:50-05:00","15.0","0.002708541912810926","-0.46663054970033224","0.9799324311127943","-0.270246155842514","-2.0825044498241816","2.0781757645832863","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010122.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010122.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010122"
"42","2025-08-14T01:02:20-05:00","16.0","0.0026926393335013135","-0.46661852780830687","0.979937417793395","-0.2874310332096825","-2.0726017382822546","2.068398100700586","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010153.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010153.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010153"
"43","2025-08-14T01:02:51-05:00","17.0","0.002676930810981769","-0.46659419430554255","0.9799442492366423","-0.3043484955037993","-2.0626094020582606","2.058539003091619","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010223.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010223.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010223"
"44","2025-08-14T01:03:21-05:00","18.0","0.002667373897484844","-0.4665865943464123","0.97994676028192","-0.3212022129836922","-2.0525737062447305","2.048557861823239","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010253.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010253.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010253"
"45","2025-08-14T01:03:51-05:00","19.0","0.0026582436864701353","-0.4665804899043309","0.9799397341092108","-0.33793474028709664","-2.042452535038184","2.038541125669434","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010324.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010324.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010324"
"46","2025-08-14T01:04:22-05:00","20.0","0.002675852175252201","-0.4666010565715094","0.9799369716596052","-0.35443517532787855","-2.0322868672709267","2.028409048817511","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010354.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010354.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010354"
"47","2025-08-14T01:04:52-05:00","21.0","0.002679455740191683","-0.46660145450278034","0.9799415211856352","-0.370836872119755","-2.022071455651174","2.018300106332695","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010424.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010424.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010424"
"48","2025-08-14T01:05:22-05:00","22.0","0.002675587551802562","-0.4665898514208403","0.9799435502501809","-0.38704629536649265","-2.0117632929944285","2.0080463471830927","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010454.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010454.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010454"
"49","2025-08-14T01:05:52-05:00","23.0","0.0027198541730139303","-0.4666155933083712","0.9799400883289381","-0.403131641901851","-2.0014491226218825","1.9977945766959104","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010524.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010524.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010524"
"50","2025-08-14T01:06:22-05:00","24.0","0.0027204550864590796","-0.46662173422984254","0.9799330817357752","-0.4191418917542065","-1.9910309816751153","1.987453760669789","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010555.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010555.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010555"
"51","2025-08-14T01:06:52-05:00","25.0","0.002722644370844615","-0.4666250081810361","0.9799266667448614","-0.43492168971319395","-1.9805523910505882","1.9770126990992898","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010625.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010625.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_010625"
